Date,Return,Open-Close,Open-Low,Open-High,Close-MA 20D,RSI 14D,Normalized Volume,Realized Volatility 30D,VIX,VIX Move,VIX Open-Close
1995-01-03,-0.00034838766702005586,-0.0002177783627534957,-0.0043770367356836815,0.00013065482279550622,0.0072829256512225715,0.5326902635071608,-0.5569653714520872,0.10003237498248589,14.25,0.07954545454545459,0.011355571327182457
1995-01-04,0.0034850167765356765,0.0034412606076572594,-0.0034195260229180624,0.0034630627113991785,0.009974559674008399,0.5637921495201798,0.27309445767412605,0.09978617554331805,13.53,-0.05052631578947375,-0.024513338139870222
1995-01-05,-0.0008030974088426568,-0.0008465152924452823,-0.0021270830564583676,0.001237117154063494,0.008364336793980964,0.5546313299611292,0.11554183139456191,0.09770336203614235,13.5,-0.0022172949002217113,-0.014598540145985384
1995-01-06,0.0007385780139774756,0.00065160953286858,-0.0019766366699612847,0.004583137792876224,0.008065745908901523,0.5616849893217457,0.14323882268155524,0.08128557148085305,13.13,-0.027407407407407325,-0.03950256035113375
1995-01-09,0.00032559260718745264,0.00034726375819049693,-0.002018848576540666,0.0023877742613127584,0.006699957703418136,0.5649560664182072,-0.22942379826735163,0.08122624713708985,13.33,0.015232292460015229,-0.014781966001478186
1995-01-10,0.001844511043071595,0.001692338924178971,0.0,0.008006079514073505,0.006937852948102341,0.5839009761769764,0.9390989401807389,0.08020451405149301,12.52,-0.06076519129782454,0.0024019215372297342
1995-01-11,-4.32962231482481e-05,-4.32962231482481e-05,-0.006562985284051526,0.004180367417394137,0.005557530475450934,0.5832589181959169,0.7750813219374677,0.07956021925808096,12.15,-0.02955271565495199,0.009975062344139696
1995-01-12,-4.329809779235472e-05,0.0,-0.002187873596702916,0.0006281474538121223,0.004257323892187248,0.5825690185542165,0.15289651555708364,0.07941899147764328,12.83,0.05596707818930047,0.00706436420722123
1995-01-13,0.00937957252254229,0.00937957252254229,0.0,0.010376002608872614,0.012465436973984723,0.6728457798677613,0.5592039596669179,0.08263058241851656,11.1,-0.13484021823850356,-0.03141361256544517
1995-01-16,0.007318076255299344,0.007318076255299344,0.0,0.009485619225517494,0.018321474876869415,0.7231529374135642,0.16152753260633346,0.07720400523072353,11.14,0.003603603603603789,-0.02707423580786017
1995-01-17,0.0014273786545295764,0.0014273786545295764,-0.002535265642600204,0.0016404384332477928,0.01853204410251741,0.7318153356028589,0.4187715877880472,0.07312823123142088,11.79,0.058348294434470205,-0.053012048192771055
1995-01-18,-0.0007233209417717434,-0.0007233209417717434,-0.0042973918765423225,0.0008084352934820682,0.016495784187801288,0.7195289811827768,0.6104752874471319,0.07326920404314363,11.57,-0.018659881255301047,0.02935943060498225
1995-01-19,-0.0058759214257377845,-0.005897106774467531,-0.007068055422234432,0.0,0.009447049895417559,0.6273816116103246,-0.2580840143118397,0.07596347748529596,11.86,0.025064822817631782,-0.018211920529801362
1995-01-20,-0.004647206219581479,-0.004647206219581479,-0.006339055410496619,8.561516002258962e-05,0.004194773371491767,0.5656787681443727,1.14566814780539,0.07627082470225667,12.15,0.024451939291737057,0.005794701986755024
1995-01-23,0.0022376350149266866,0.0022376350149266866,-0.007831627883797876,0.003119781408666089,0.005774664585419753,0.5867536157574826,0.22909381740944673,0.06409681698844577,12.79,0.05267489711934137,-0.07919366450683951
1995-01-24,8.582284873837054e-05,0.00010731199462132857,-0.0007299048999802604,0.0022970889517059945,0.005206610498330599,0.5875802078412729,0.052712440440352566,0.06396525165341412,11.94,-0.0664581704456606,-0.015663643858202958
1995-01-25,0.0033916134694418343,0.0033916134694418343,-0.003133969533785974,0.00783502579643125,0.008075353273478747,0.6199342826445324,0.5141334616994091,0.06300586350757663,11.46,-0.04020100502512547,-0.04020100502512547
1995-01-26,0.0018826052460951814,0.0018826052460951814,-0.0011552455880744494,0.0025243731707840222,0.009161382138517249,0.6369591066105853,-0.1757050405815055,0.06302505419761384,11.25,-0.01832460732984298,0.032110091743119185
1995-01-27,0.0044200716797477835,0.0044200716797477835,0.0,0.006491240934748399,0.012616027124387363,0.6738940461138443,0.4711054004433898,0.05726474566705364,11.25,0.0,0.04456824512534818
1995-01-30,-0.003996694104997034,-0.003996694104997034,-0.006165149997922503,0.00027631113725923306,0.0075668280071719,0.6131498546971352,0.09529247603029148,0.05915283601344548,12.26,0.08977777777777773,0.05417024935511594
